2026-02-10 21:51:29 | INFO    | __main__ | === Standalone OpenSky demo (real data, no Docker) === Log file: D:\data science\Data Science Final\Real-Time-Data-Pipeline-For-Monitoring-Autonomous-Vehicles-main\new_tesla\logs\pipeline.log
2026-02-10 21:51:29 | INFO    | __main__ | Fetching real data from OpenSky Network API...
2026-02-10 21:51:32 | INFO    | __main__ | Received 5584 aircraft
2026-02-10 21:51:32 | INFO    | __main__ | Wrote 25 telemetry rows and alerts to SQLite
2026-02-10 21:51:32 | INFO    | __main__ | Exported results/latest_telemetry.csv
2026-02-10 21:51:32 | INFO    | __main__ | Exported results/alerts_sample.csv
2026-02-10 21:51:32 | INFO    | __main__ | Exported results/telemetry_summary.csv
2026-02-10 21:51:32 | INFO    | __main__ | Done. Open results/ for CSVs. Log file: D:\data science\Data Science Final\Real-Time-Data-Pipeline-For-Monitoring-Autonomous-Vehicles-main\new_tesla\logs\pipeline.log
2026-02-10 22:01:39 | INFO    | __main__ | === Standalone OpenSky demo (real data, no Docker) === Log file: D:\data science\Data Science Final\Real-Time-Data-Pipeline-For-Monitoring-Autonomous-Vehicles-main\new_tesla\logs\pipeline.log
2026-02-10 22:01:39 | INFO    | __main__ | Fetching real data from OpenSky Network API...
2026-02-10 22:01:40 | INFO    | __main__ | Received 5449 aircraft
2026-02-10 22:01:40 | INFO    | __main__ | Wrote 25 telemetry rows and alerts to SQLite
2026-02-10 22:01:40 | INFO    | __main__ | Exported results/latest_telemetry.csv
2026-02-10 22:01:40 | INFO    | __main__ | Exported results/alerts_sample.csv
2026-02-10 22:01:40 | INFO    | __main__ | Exported results/telemetry_summary.csv
2026-02-10 22:01:40 | INFO    | __main__ | Done. Open results/ for CSVs. Log file: D:\data science\Data Science Final\Real-Time-Data-Pipeline-For-Monitoring-Autonomous-Vehicles-main\new_tesla\logs\pipeline.log
2026-02-10 22:14:43 | INFO    | __main__ | === Full pipeline (local, no Docker) ===
2026-02-10 22:14:43 | INFO    | __main__ | Log file: D:\data science\Data Science Final\Real-Time-Data-Pipeline-For-Monitoring-Autonomous-Vehicles-main\new_tesla\logs\pipeline.log
2026-02-10 22:14:44 | INFO    | __main__ | Producer: emitted 25 vehicles (poll 1/3)
2026-02-10 22:14:48 | INFO    | __main__ | Producer: emitted 25 vehicles (poll 2/3)
2026-02-10 22:14:51 | INFO    | __main__ | Producer: emitted 25 vehicles (poll 3/3)
2026-02-10 22:14:51 | INFO    | __main__ | Exported latest_telemetry.csv
2026-02-10 22:14:51 | INFO    | __main__ | Exported alerts_sample.csv
2026-02-10 22:14:51 | INFO    | __main__ | Exported perception_summary_24h.csv
2026-02-10 22:14:51 | INFO    | __main__ | Exported telemetry_summary.csv
2026-02-10 22:14:51 | INFO    | __main__ | Done. Check results/ for CSVs. Dashboard requires Docker (Kafka+TimescaleDB).
